"","population","Sim","Cases","Deaths","Exposed","ICU beds occupied","Infected (clinical)","Infected (preclinical)","Infected (subclinical)","Non-ICU beds occupied","Recovered","Reported cases","Subclinical cases","Susceptible","readable_name","0-14","15-29","30-44","45-59","60-74","75+"
"1","Germany","A",32601773.4027353,458284.576207249,250700939.52255,11363610.6759221,114099626.22456,48902844.7248819,150349107.934703,21345780.6403782,3966092422.40824,32601773.4027353,30071932.6175479,11388804609.1851,"Deaths",408.420211373887,3702.77410417552,10528.3568857008,51968.0122287433,188906.234212017,202770.778565238
"2","Ireland","A",1817070.50147309,17384.7260644579,15139639.3574386,437779.210205559,6357009.82577668,2725636.02624172,9830046.68699213,823269.794733073,189584007.495932,1817070.50147309,1967136.44383393,551597632.607619,"Deaths",55.9040942269417,234.47271338974,748.651449853439,2376.52354179413,8112.46038714359,5856.71387805011
"3","Spain","A",18183522.9015756,256975.362579492,138829294.220636,6374573.56517657,63637039.888501,27275401.4266133,82603490.1346816,11974656.2849544,2192307569.40612,18183522.9015756,16522506.2877396,6191736842.92345,"Deaths",258.025483575641,1746.9320279914,7072.83517256026,27769.2475770143,95712.7641578173,124415.558160533
"4","Sweden","A",3849488.48615689,52056.4266405275,30144844.7136843,1287923.08099644,13472982.64316,5774249.98179152,18432903.1665499,2418907.46790138,562685182.938286,3849488.48615689,3686664.87185672,1247954056.55653,"Deaths",62.8907287463874,506.268457252092,1272.6721508998,5301.09678895937,23629.3050220917,21284.1934925781
"5","United Kingdom","A",27797793.588642,361816.503599669,222120877.823268,8971995.27411619,97287269.8574843,41696842.2809461,138647532.245379,16853233.1127486,3393686682.37466,27797793.588642,27731269.3654638,8733357539.41826,"Deaths",712.20980317782,3540.75280410997,9160.85046844121,36122.7816097761,158790.627527323,153489.281386841
"6","Germany","B",25141970.7730986,190844.683604121,197753261.833582,6389189.62982487,86009707.1994113,37730800.9836489,115504332.221331,12330118.5546796,1232385581.11855,25141970.7730986,23747282.9129959,14249565866.6435,"Deaths",135.8331900774,1889.63552422865,6076.16333148591,28748.6478683672,78393.0356853546,75601.3680046069
"7","Ireland","B",1005608.30266667,2911.45738815765,8902755.79212428,121225.219053895,3264427.07929967,1510830.65107012,5148259.52913203,239109.931549402,34089772.813465,1005608.30266667,1133022.90208639,722317926.134909,"Deaths",7.27698661454658,51.4786136676229,203.7708913476,540.125182759651,1311.529970008,797.275743760228
"8","Spain","B",15515087.0596913,170784.789724763,119238478.749846,4801937.64912708,53971725.6012562,23275576.1652373,70512561.9345261,9116086.24695845,1056603020.91594,15515087.0596913,14208388.2791186,7372788274.6332,"Deaths",140.855867403619,1282.10957825302,5771.47283582457,21150.0560314191,63356.3018903366,79083.9935215259
"9","Sweden","B",2866204.69430846,24793.3176365417,22744087.2113818,752262.817180065,9879220.85680078,4300683.47612021,13619263.2158144,1439052.81304549,173705342.50143,2866204.69430846,2776529.87964896,1654215622.73845,"Deaths",22.3841846264777,288.693296055854,816.800580576869,3294.03364484738,11507.3713692494,8864.03456118572
"10","United Kingdom","B",21764661.0630478,148511.837834925,177658417.085468,5101516.91987331,74202704.2208739,32664705.220986,106895571.163802,9868137.19722535,1032464237.90816,21764661.0630478,22090397.490608,11202911108.4007,"Deaths",271.471361449998,1729.2552018549,5041.89404204479,17722.6842026658,68263.2251833843,55483.3078435256
"11","Germany","C",32602707.9700437,458739.864281171,250705995.82504,11367008.2433031,114104440.091426,48904233.7694083,150355008.535206,21351132.8875721,4091429984.66562,32602707.9700437,30072619.5222604,11431017777.1133,"Deaths",409.152937705641,3704.90725457827,10532.2320179127,51989.1749971442,189087.998473443,203016.398600387
"12","Ireland","C",1818877.79052165,17863.1815929387,15151023.7408936,441713.546234808,6366044.01158987,2728324.17474699,9844287.01390113,829570.719429672,329678250.531018,1818877.79052165,1968869.23422197,594164494.527851,"Deaths",58.3717962031947,238.328267442466,755.241077005144,2407.62630485933,8333.69023565144,6069.92391177714
"13","Spain","C",18187012.8290786,258235.134507978,138849297.497501,6384807.93422377,63654427.6071293,27280592.7361979,82626199.5453201,11991043.4894126,3268298681.90945,18187012.8290786,16525280.6695533,6565078711.70441,"Deaths",261.142429630066,1752.85805255609,7084.18784085862,27839.2510546381,96170.3695528582,125127.325577436
"14","Sweden","C",3849557.9399675,52082.539902677,30145255.7621574,1288130.37005789,13473331.7761413,5774353.27249475,18433396.9344122,2419238.02180143,600365396.904523,3849557.9399675,3686724.37944672,1260768835.35027,"Deaths",62.9731890373147,506.417431437302,1272.88374194412,5302.10846441122,23639.690349024,21298.466726823
"15","United Kingdom","C",27799915.6302905,362959.867254519,222132632.42386,8979953.94691289,97298496.1041595,41699994.1859187,138662675.088244,16865609.2847434,3948972429.43399,27799915.6302905,27732961.4258982,8856890556.76383,"Deaths",714.995568921486,3547.45707303222,9172.06696392311,36187.752969731,159227.442698291,154110.151980621
"16","Germany","D",26647212.8953974,294112.92047337,206808386.281641,8109964.01733298,92734832.2962257,39975577.253923,123719068.811365,15373229.8704411,1973860212.05365,26647212.8953974,24914345.5836354,14738610648.3032,"Deaths",225.672950710784,2712.73579627028,8328.2819773129,40027.661596903,122009.542726233,120809.02542594
"17","Ireland","D",1418548.42948555,12516.8004209406,11845969.4044485,314186.322857437,4960674.69996574,2127865.94531556,7699882.13421233,590821.60268746,187408946.292467,1418548.42948555,1541704.07921594,842645005.523591,"Deaths",38.3035370663182,186.692392483288,638.588973855307,1919.1236590734,5806.51295960069,3927.57889886158
"18","Spain","D",15796866.0711125,213913.514103718,120887607.174639,5301291.48900178,55283839.9303571,23695407.1007964,72110009.5680148,9957979.96410034,2287900429.62132,15796866.0711125,14423689.774832,8053458447.60488,"Deaths",195.364197924087,1526.510900863,6515.46063219791,24765.0305749326,79586.9520043344,101324.195793466
"19","Sweden","D",3009341.67819087,35458.7892400656,23646299.4286206,911056.957072843,10510451.6508048,4514221.06937502,14441909.3246199,1716630.10685723,305843338.612702,3009341.67819087,2896090.76656028,1751791209.91388,"Deaths",35.4095881068304,386.695820132062,1043.79657151448,4270.29897372104,16412.8424188186,13309.7458677725
"20","United Kingdom","D",23496180.262259,265546.595686412,188555863.590614,6975462.9583,82000733.4950704,35246418.729273,117474978.723584,13166096.5517272,2070552998.61049,23496180.262259,23579540.6332061,11694343842.851,"Deaths",508.590528013689,2842.78474361293,7789.26478851049,29084.9381280142,119620.764009632,105700.253488628
"21","Germany","E",34111370.667554,490631.354979181,261933993.531167,12133929.0011061,119389184.324432,51167196.9953382,156858927.833647,22788610.4206842,4908514842.67307,34111370.667554,31371987.6023556,10588653294.6423,"Deaths",451.85597464978,3854.1544622131,10794.9358995428,53594.5984990144,200898.750971943,221037.059171818
"22","Ireland","E",1902411.57385734,18938.5338410464,15837530.6069175,470476.479540935,6657858.52519273,2853629.76777387,10282920.6865046,883869.827170876,229422667.41927,1902411.57385734,2056825.52447492,510179364.994341,"Deaths",61.9534358510544,246.701726545229,771.005838038446,2484.95112040631,8835.6755428962,6538.24617730919
"23","Spain","E",19060852.55708,275202.664992976,145438756.175658,6803914.32600785,66712968.0879026,28591354.9544881,86494122.210099,12778093.1158384,3761094659.87105,19060852.55708,17298830.5232835,6057456049.7008,"Deaths",290.31083000918,1832.60236815636,7250.24731161516,28832.7067700339,102463.215449708,134533.582263453
"24","Sweden","E",4024127.95649121,55427.1219729234,31507047.5540312,1370422.94769494,14084427.6538953,6036208.14456689,19263097.2784976,2573733.8436035,692605042.432411,4024127.95649121,3852627.33211323,1165464746.9366,"Deaths",69.8499762197502,525.696652060052,1303.49346124752,5445.74508811254,24993.2096624152,23089.1271328684
"25","United Kingdom","E",28853182.7896797,382562.379022009,230374511.647146,9458887.81503833,100986036.546502,43279890.0361582,143701916.779555,17764346.0149171,4649588449.38919,28853182.7896797,28740420.1468546,8137725979.60144,"Deaths",754.765186315254,3661.47304097254,9355.05126671396,37325.2160107382,166680.015324644,164785.858192625
"26","Germany","F",39278492.534349,609392.855208129,300176120.078855,15066027.2295271,137474726.19782,58917895.366507,178827676.932617,28294734.13542,7945783586.92673,39278492.534349,35765535.331738,7465337434.49747,"Deaths",636.200989897703,4281.2602215468,11384.6262023463,57781.3119664611,239062.509323424,296246.946504453
